true_class,predicted_class,count,true_class_support,pct_of_true_class,pct_of_total_errors
mel,nv,70,168,41.67,19.13
bkl,nv,60,167,35.93,16.39
nv,mel,36,1007,3.57,9.84
nv,bkl,27,1007,2.68,7.38
bkl,mel,20,167,11.98,5.46
mel,bkl,19,168,11.31,5.19
bcc,nv,17,71,23.94,4.64
akiec,bkl,10,55,18.18,2.73
bkl,bcc,10,167,5.99,2.73
akiec,nv,9,55,16.36,2.46
nv,bcc,8,1007,0.79,2.19
df,nv,7,20,35.0,1.91
akiec,mel,6,55,10.91,1.64
mel,akiec,6,168,3.57,1.64
bcc,bkl,6,71,8.45,1.64
vasc,bcc,5,24,20.83,1.37
akiec,bcc,5,55,9.09,1.37
mel,bcc,5,168,2.98,1.37
vasc,nv,4,24,16.67,1.09
bkl,akiec,4,167,2.4,1.09
bcc,mel,4,71,5.63,1.09
vasc,mel,4,24,16.67,1.09
bcc,akiec,3,71,4.23,0.82
df,bkl,3,20,15.0,0.82
df,mel,3,20,15.0,0.82
nv,vasc,2,1007,0.2,0.55
df,akiec,2,20,10.0,0.55
nv,df,2,1007,0.2,0.55
akiec,df,1,55,1.82,0.27
bkl,df,1,167,0.6,0.27
bkl,vasc,1,167,0.6,0.27
bcc,df,1,71,1.41,0.27
bcc,vasc,1,71,1.41,0.27
nv,akiec,1,1007,0.1,0.27
mel,df,1,168,0.6,0.27
df,vasc,1,20,5.0,0.27
vasc,df,1,24,4.17,0.27
