epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_time_seconds
1,0.9528,0.6913,0.8379,0.7232,0.001,259.35
2,0.7864,0.7307,0.7527,0.7423,0.001,252.17
3,0.7334,0.7369,0.7282,0.7508,0.001,249.38
4,0.7041,0.7559,0.7202,0.7535,0.001,246.19
5,0.6947,0.7574,0.7005,0.7541,0.001,239.12
6,0.6757,0.7522,0.7319,0.7442,0.001,237.08
7,0.6714,0.7561,0.6888,0.7587,0.001,237.92
8,0.6652,0.7638,0.6828,0.7535,0.001,274.53
9,0.6493,0.7678,0.698,0.7581,0.001,248.48
10,0.6598,0.7645,0.6721,0.7659,0.001,239.13
11,0.6482,0.7675,0.677,0.7653,0.001,317.33
12,0.6405,0.7751,0.6751,0.7633,0.001,228.74
13,0.642,0.7663,0.6517,0.7751,0.001,231.22
14,0.6398,0.7671,0.6422,0.7738,0.001,232.99
15,0.6398,0.766,0.6495,0.7765,0.001,230.74
